id,us,square,sub_square,preservation,length,width,thickness,thermal_alteration,edge_wear,patina
240.1,A2,85,i,proximal,28,13.4,3.3,no,0,2.5Y 6/1
241.1,A1,62,c,proximal,24.2,14,3.7,no,0,2.5Y 5/4
242.1,A2,101,g,proximal,32.2,13.5,2.7,no,0,no
243.1,A2,120,f,proximal,25,12,2.5,no,0,no
244.1,D3+D6,101,d,proximal,17.7,12.5,2.8,no,0,no
245.1,A2,110,a,proximal,31.5,15.1,3.9,no,0,no
1.2,A1,63,h,distal,36.7,39.1,11.1,no,1,gley1 7-6/N
3.2,A2,88,c,distal,27.4,22.1,4,no,0,no
4.2,A2,78,c,distal,34.3,17.2,4.4,no,0,no
6.2,A2,69,c,distal,41.4,17.4,8.1,no,1,no
8.2,A1,58,a,distal,38,15.7,4.4,no,0,no
10.2,A2,69,d,distal,22,27.3,6.6,no,0,no
11.2,A2,56,b,mesial,38.7,21.5,4.2,no,0,no
12.2,A2,77,e,distal,15,12.1,2.1,no,0,no
13.2,A2,65,g,mesial,28.7,11.7,8.4,no,0,gley1 8-7/N
14.2,A2,88,e,distal,13.4,12.3,3.1,no,0,5YR 6/6
15.2,A2,66,h,distal,49.6,28.7,4.7,no,0,no
16.2,A1,58,f,distal,25.4,29.6,9.1,no,0,7.5YR 6/4-6
17.2,A2,55,f,distal,32.7,15.1,5.1,no,1,no
18.2,A1,63,d,distal,35.8,30.2,5.4,no,0,no
19.2,A2,88,e,distal,27.4,13.5,3.1,no,1,no
20.2,A1,62,d,distal,31.2,14.4,5.7,no,0,no
23.2,A1,72,f,distal,41.5,36.9,11.6,no,0,no
24.2,A1,72,g,distal,20.5,20.1,4.1,no,1,no
25.2,A1,51,f,distal,20.8,15.5,5.8,no,0,gley1 8/N-10Y
26.2,D3d base,76,g,distal,31.6,21.7,7.2,no,0,no
27.2,D3d base,76,h,distal,28.1,13.1,5.5,no,0,gley1 5/N
29.2,A2,30,g,distal,19.3,12.8,4,no,0,gley1 7/N-10Y
31.2,A2,77,f,mesial,14.5,12.6,3.1,no,0,gley2 6/10B
34.2,A1,63,a,distal,27.4,33,2.8,no,2,no
35.2,A2,66,g,distal,21.8,14.4,4.8,no,0,no
36.2,A2,53,c,distal,18.3,24.4,5.7,no,2,no
38.2,A2,55,h,mesial,18.7,13.1,2.2,no,1,10YR 7/2
39.2,D3d base,57,d,mesial,32.9,13.4,6.5,no,1,5Y 8/1
40.2,A2,65,d,mesial,19,22.8,4.8,no,1,7.5YR 7/2
41.2,A2,67,c,mesial,27.5,18.9,4.7,no,0,no
42.2,A2,115,h,distal,30.2,20.7,3.5,no,1,no
44.2,A2,55,h,distal,18.1,14,2.8,yes,0,no
45.2,A2,67,b,mesial,17.6,15.5,3.6,no,0,gley1 6/N
46.2,A2,40,g,distal,57.3,20.7,4.6,no,0,no
48.2,A2,50,d,distal,16.4,15,3.9,no,1,gley1 7/N-10Y
49.2,D6,120,b,distal,34.6,20.2,4.1,no,1,no
50.2,A2,78,a,distal,45.2,21.9,6,no,0,gley2 5/10B
51.2,A1,62,i,distal,41.6,20.2,6.1,no,1,no
54.2,A2,110,f,distal,43.8,28.1,6.2,no,0,no
55.2,A2,65,b,mesial,30.2,12.6,4.7,no,2,2.5Y 5/6
56.2,A2,68,c,distal,45.4,23.5,8,no,0,gley1 7/N
57.2,D3b,25,a,distal,52.1,19.3,7.1,no,1,gley2 7/5B
58.2,D3d base,z50,i,distal,33.6,19.1,4.8,no,1,gley1 7/N-10Y
59.2,A1,58,d,distal,30.8,15.3,3.5,no,0,gley1 7/N-10Y
60.2,A2,55,h,distal,23.3,20.9,6.2,yes,0,no
61.2,A2,100,g,distal,27.3,18.3,4.2,no,0,no
63.2,D6,125,g,distal,57.2,21.1,7.2,no,1,10YR 6/6
64.2,D3+D6,102,h,distal,34.8,17.8,5.2,no,0,no
65.2,D6,95,c,distal,48.6,28.9,10.2,no,0,5YR 6/4
66.2,A1,72,a,distal,16.4,11.8,3.3,no,0,2.5Y 6/6
67.2,D3d base,77,b,mesial,26,19.3,7.1,no,0,no
68.2,A2,79,d,distal,40.3,20.3,5.5,no,0,no
69.2,D3+D6,106,h,mesial,27.8,23.8,4.3,no,0,no
70.2,A2,49,g,mesial,24.4,24.6,4.5,no,0,gley1 7/N
71.2,D6,105,b,distal,53.1,24.8,7.9,no,0,no
73.2,D3+D6,101,b,distal,50,24.9,11.2,no,1,gley1 6/
74.2,D6,116,c,distal,41.6,26,10.2,no,1,no
75.2,A1,61,e,distal,18.5,19.2,4.2,no,1,no
76.2,A2,115,f,distal,33.4,17.6,3.7,no,1,2.5Y 5/1
77.2,A1,62,d,mesial,30.6,20,6.6,no,0,no
78.2,A2R,130,d,distal,53.6,20.8,6.7,no,1,9/N
79.2,A2,95,e,distal,21.9,14.9,3.1,no,1,no
83.2,D3+D6,91,b,distal,49.3,32.3,8.8,no,0,gley1 8/N
84.2,A2,55,i,distal,19.4,13.7,1.8,no,0,gley1 7/N
85.2,A2,66,g,distal,38.2,17.1,4,no,1,10YR 7/2
86.2,A1,56,c,distal,25.8,14,4.6,no,0,gley1 8/N
87.2,D3d,75,i,mesial,17.8,15.1,4.8,yes,1,no
89.2,D3b,30,b,mesial,23.3,18.5,4,no,1,gley1 8/N
91.2,A2,115,i,distal,21.4,12.4,3.7,no,0,no
92.2,A1,55,i,mesial,21.1,14.4,5.2,no,0,no
93.2,A2,57,e,distal,28.6,17.2,4.7,no,1,no
94.2,D3d base,87,h,distal,23,16.3,7.6,no,1,10YR 5/6
95.2,A2,110,d,distal,37.6,14.2,6,no,1,no
98.2,D6,116,e,mesial,32.1,16.7,4.1,no,1,no
99.2,A2,31,a,distal,32.3,35,7,no,1,no
101.2,D6,95,c,distal,24.3,16.1,4,no,1,no
