SU,class,blank,technology,preservation,cortex.y.n,RAW
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Distal,no,Flake dist
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Flake,Optimal,Complete,no,Flake complete
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
A1east,Blank,Blade,Optimal,Proximal,no,Blade prox
